=== quickhull soak test (seed base 1775005870) ===
    logging failures to crash_log.txt
    press Ctrl+C to stop

  soak: round 10 done (8000 hulls so far, no failures)
  soak: round 20 done (16000 hulls so far, no failures)
  soak: round 30 done (24000 hulls so far, no failures)
  soak: round 40 done (32000 hulls so far, no failures)
  soak: round 50 done (40000 hulls so far, no failures)
  soak: round 60 done (48000 hulls so far, no failures)
  soak: round 70 done (56000 hulls so far, no failures)
  soak: round 80 done (64000 hulls so far, no failures)
  soak: round 90 done (72000 hulls so far, no failures)
  soak: round 100 done (80000 hulls so far, no failures)
  soak: round 110 done (88000 hulls so far, no failures)
  soak: round 120 done (96000 hulls so far, no failures)
  soak: round 130 done (104000 hulls so far, no failures)
  soak: round 140 done (112000 hulls so far, no failures)
  soak: round 150 done (120000 hulls so far, no failures)
  soak: round 160 done (128000 hulls so far, no failures)
  soak: round 170 done (136000 hulls so far, no failures)
  soak: round 180 done (144000 hulls so far, no failures)
  soak: round 190 done (152000 hulls so far, no failures)
  soak: round 200 done (160000 hulls so far, no failures)
  soak: round 210 done (168000 hulls so far, no failures)
  soak: round 220 done (176000 hulls so far, no failures)
  soak: round 230 done (184000 hulls so far, no failures)
  soak: round 240 done (192000 hulls so far, no failures)
  soak: round 250 done (200000 hulls so far, no failures)
  soak: round 260 done (208000 hulls so far, no failures)
  soak: round 270 done (216000 hulls so far, no failures)
  soak: round 280 done (224000 hulls so far, no failures)
  soak: round 290 done (232000 hulls so far, no failures)
  soak: round 300 done (240000 hulls so far, no failures)
  soak: round 310 done (248000 hulls so far, no failures)
  soak: round 320 done (256000 hulls so far, no failures)
  soak: round 330 done (264000 hulls so far, no failures)
  soak: round 340 done (272000 hulls so far, no failures)
  soak: round 350 done (280000 hulls so far, no failures)
  soak: round 360 done (288000 hulls so far, no failures)
  soak: round 370 done (296000 hulls so far, no failures)
  soak: round 380 done (304000 hulls so far, no failures)
  soak: round 390 done (312000 hulls so far, no failures)
  soak: round 400 done (320000 hulls so far, no failures)
  soak: round 410 done (328000 hulls so far, no failures)
  soak: round 420 done (336000 hulls so far, no failures)
  soak: round 430 done (344000 hulls so far, no failures)
